"","StateCodes","State","Region","Division","Coast","Great.Lakes","TotalC","TotalP","TotalE","TotalPrice","TotalC_Changes","TotalP_Changes","TotalE_Changes","TotalPrice_Changes","BiomassC","CoalC","CoalP","CoalE","CoalPrice","ElecC","ElecE","ElecPrice","FossFuelC","GeoC","GeoP","HydroC","HydroP","NatGasC","NatGasE","NatGasPrice","LPGC","LPGE","LPGPrice","GDP","Population","Year"
"90","RI","Rhode Island",1,1,1,0,185731,3419,3907.3,26.16,95.09354168,100.5884084,105.8917586,110.7067287,6265,0,0,0,0,26383,1008.3,38.22,185371,127,0,72,7,102465,813.1,8.02,1469,53.3,36.27,49931.25,1052020,2011
"91","SC","South Carolina",3,5,1,0,1601881,661898,21119.1,21.36,97.44323297,101.8339082,113.1669337,115.3347732,111632,366160,0,1410.6,3.85,274627,7081.3,25.78,1077992,605,0,15100,1554,235465,1432.6,6.18,9625,274.1,28.47,171152.75,4673054,2011
"92","SD","South Dakota",2,4,0,0,378470,248370,4596.4,20.43,99.9883756,110.1971276,118.5464112,118.7100523,62472,32112,0,69,2.15,39851,939.8,23.58,218924,1962,0,64205,6608,73973,451,6.77,6744,157.6,23.37,42453.25,824171,2011
"93","TN","Tennessee",3,6,0,0,2195401,506701,29861.2,22.15,97.69178022,100.1918016,116.7337748,118.6395287,91048,481127,38576,1425.4,2.96,343702,9277.6,27.26,1427048,199,0,93037,9576,267929,1886.9,7.61,11999,328.9,27.45,264957.5,6398389,2011
"94","TX","Texas",3,7,1,0,11906249,12571450,163261.8,20.55,101.8714662,110.1586259,120.9218579,118.375576,205461,1695239,605290,3212.5,1.9,1283134,33064.8,26.64,10979933,2488,0,5471,563,3800578,14900.1,4.73,1452532,30956.3,21.32,1351048.25,25657477,2011
"95","UT","Utah",4,8,0,0,794058,1128821,10486,20.04,105.0324598,105.1961534,125.0223552,118.6500888,9209,346181,453869,622.7,1.8,98467,2032.3,20.98,858627,4027,330,11952,1230,230672,1216.2,6.5,4911,124.4,25.41,125496.5,2815324,2011
"96","VT","Vermont",1,1,0,0,150475,80677,3223.2,27.86,97.90366761,100.666309,115.7924989,117.3052632,17194,0,0,0,0,18937,765.9,40.44,88836,27,0,13843,1425,8679,98.9,11.46,8271,246.6,29.81,27564.5,626450,2011
"97","VA","Virginia",3,5,1,0,2380922,1085234,33423.7,22.25,95.87502416,98.92987339,111.9826985,116.3702929,116144,288348,562805,1128.1,3.91,376099,9747.7,25.92,1431388,1764,0,11760,1210,383527,2774.2,7.67,20844,553.7,26.56,431961.25,8110188,2011
"98","WA","Washington",4,9,1,0,2059630,1101186,27091.6,21.54,101.3882845,121.2817347,119.0201299,117.512275,114621,56951,0,133.1,2.34,319789,6294.2,20.01,1042446,1262,0,892101,91818,272261,2484.3,9.77,16604,472.2,28.83,372286.75,6822112,2011
"99","WV","West Virginia",3,5,0,0,726341,3820203,9023.6,20.23,98.31082224,103.2562926,113.8495313,117.207416,25409,822645,3321102,2227.1,2.71,106587,2430.5,23.16,1138906,30,0,14118,1453,124935,624.5,7.87,4323,121.2,28.04,70891.25,1854982,2011
"100","WI","Wisconsin",2,3,0,1,1778018,312552,24577.7,20.97,99.2641242,94.87343713,113.8177911,113.474026,136188,447370,0,1169.2,2.61,234103,6943.9,30.01,1359984,574,0,20859,2147,399247,3028,7.82,32051,734.9,22.99,263634.75,5708785,2011
"101","WY","Wyoming",4,8,0,0,556548,10353148,5498.9,18.01,103.0411648,98.25918681,121.5253376,118.7994723,3974,467671,7591675,710.2,1.52,59429,1118,19.39,797726,670,0,11890,1224,161776,413.7,6.35,5481,139.7,25.55,41578,567631,2011
"102","DC","District of Columbia",3,5,0,0,183806,271,2453,26.66,96.4714033,285.2631579,98.21821822,103.4937888,1028,48,0,0.2,3.26,39450,1480.5,37.53,55887,59,0,0,0,33389,377.2,11.91,18,0.5,29.64,108029,620427,2011
"103","AL","Alabama",3,6,1,0,1879716,1433370,24192.8,19.96,98.66203515,102.3756739,98.95736613,99.30348259,181878,547004,488084,1808.8,3.31,294055,7665.7,27.32,1740315,141,0,70754,7435,677380,2595.8,4.28,8628,212,24.58,187283.25,4817484,2012
"104","AK","Alaska",4,9,1,0,649341,1563102,7884.5,25.09,99.34275446,95.1961656,97.93923283,100.7226014,4032,15521,31332,63,4.06,21893,1035,47.84,629768,186,0,14988,1575,347228,513.9,6.26,1314,36,27.47,61613.5,731081,2012
"105","AZ","Arizona",4,8,0,0,1395839,598039,22872.4,26.41,97.95746359,96.77695499,101.0773976,103.0835285,27267,420570,161374,879.9,2.09,256116,7361,28.74,1248032,345,0,63918,6717,339043,1802.3,5.52,6522,188.4,28.88,266130.75,2949300,2012
"106","AR","Arkansas",3,7,0,0,1067642,1472778,13755.5,19.98,95.10914494,105.8646195,97.01455694,101.5760041,96248,296732,2077,673.3,2.27,159885,3456.4,22.56,918078,808,0,20921,2198,300572,1496.5,5.53,7733,191,24.71,111541,6556236,2012
"107","CA","California",4,9,1,0,7564063,2334863,135932,24.97,97.26052656,88.61669758,100.6175531,102.5462012,280963,43832,0,133.6,3.05,885544,34852.5,39.75,5687343,121269,12519,255384,26837,2456371,13009.6,5.72,55405,1492.5,27.66,2121602.25,38062780,2012
"108","CO","Colorado",4,8,0,0,1440781,2921385,19295.6,21.81,97.98265151,106.2284349,100.1344079,102.4906015,30680,370085,629645,689.4,1.86,183174,4987.6,27.63,1282352,759,0,14247,1497,461056,2064.6,6.32,15118,332.3,22.09,277646.75,5191709,2012
"109","CT","Connecticut",1,1,1,0,725019,205073,15126.6,28.66,98.09086358,104.7402345,97.60293197,101.8841095,32800,9290,0,33.3,3.59,100628,4584.5,45.56,544358,21,0,2970,312,236260,1630.6,7.05,8988,281.3,31.29,238322.25,3594362,2012
"110","DE","Delaware",3,5,1,0,273728,3530,4040.4,24.83,100.4255819,88.78269618,101.3215638,98.06477093,5972,17384,0,58.3,3.35,39304,1266.4,32.48,221203,430,0,0,0,104421,747.7,7.43,4306,129.8,30.15,60774.25,916881,2012
"111","FL","Florida",3,5,1,0,4029903,442188,66380,25.56,97.30043936,88.27746468,98.5669336,100.5903188,244646,482984,0,1697.6,3.51,752941,23028.6,30.58,3327632,10056,0,1432,151,1348390,6982.5,5.27,17524,466.2,26.6,764645.5,19355257,2012
"112","GA","Georgia",3,5,1,0,2767491,555238,39837.2,21.73,92.78049722,101.0473481,94.14283587,101.1167985,207725,435546,0,1529.9,3.51,446900,12274.7,27.47,1946907,315,0,21281,2236,625008,3830.1,6.23,20507,527.1,25.7,434977.75,9919000,2012
"113","HI","Hawaii",4,9,1,0,280171,20485,7840.3,40.14,97.58213665,111.4647949,102.2390006,104.6948357,9604,16572,0,33.3,2.01,32889,3219,99.96,256754,2491,261,1090,115,2813,121.9,44.19,3441,127,36.91,72100.25,1392766,2012
"114","ID","Idaho",4,8,0,0,510869,154829,6720.4,20.19,98.81832496,87.61409485,101.4997508,102.7480916,31038,5186,0,15.8,3.04,80905,1642,20.3,248082,2213,75,104109,10940,90339,543.6,6.43,5318,118.5,22.29,58544.75,1595590,2012
"115","IL","Illinois",2,3,0,1,3820547,2436702,47883.4,19.35,97.02690664,111.2942542,94.11452539,99.07834101,132247,969294,1094204,2134,2.2,489758,11958.3,24.7,3044403,2042,0,1058,111,950711,6159.4,6.84,65531,1362.5,21.01,712604.25,12873763,2012
"116","IN","Indiana",2,3,0,1,2770158,1046014,32334.8,18.07,97.29452358,98.4651503,99.54253557,101.9751693,103946,1193465,826842,3883.1,3.25,358852,8611,24.4,2562415,4647,0,4125,434,657719,3874.9,6.2,20584,471.8,23.02,299906,6537632,2012
"117","IA","Iowa",2,4,0,0,1440053,677875,16583.3,18.11,96.06930879,98.36449751,95.81125818,99.6149615,216577,422595,0,703.5,1.66,155959,3524.3,22.6,1092732,1281,0,7291,766,299315,1697.7,5.87,62281,1277.6,20.51,159095.75,3075935,2012
"118","KS","Kansas",2,4,0,0,1075435,793080,13438.2,21.28,97.33826435,101.4552823,99.06378085,103.1007752,38492,307585,388,566,1.84,137481,3733.1,27.42,913457,974,0,99,10,268086,1248.6,5.72,9589,213.9,22.37,141600.25,2885966,2012
"119","KY","Kentucky",3,6,0,0,1868483,2391118,22535.8,20.79,98.17544903,84.16886729,97.0066118,101.0695187,49735,909705,2193276,2249.3,2.47,303833,6377.6,21.37,1735259,2712,0,22475,2362,232702,1191.5,5.71,32072,685.1,21.62,178209.75,4383465,2012
"120","LA","Louisiana",3,7,1,0,4255161,3789540,44310.8,15.46,96.95351898,95.38247478,82.99254747,86.08017817,113460,238811,53041,691.8,2.9,289101,5675.3,20.49,3886754,1842,0,6470,680,1586439,3929.7,3.27,565869,8111.2,14.35,243308.75,4604744,2012
"121","ME","Maine",1,1,1,0,399670,152331,7164,22.03,96.5636046,98.42792898,96.47445393,100.4559964,113103,1299,0,6.1,4.69,39446,1365.7,34.62,244896,72,0,35519,3733,70451,530.9,7.62,10825,327.6,30.27,52606,1328592,2012
"122","MD","Maryland",3,5,1,0,1368600,245197,22470.7,25.75,97.06300372,89.85458916,97.43392954,100.9408075,49822,192334,54088,681.1,3.54,210908,6973.7,33.07,857053,570,0,15764,1657,216678,1802.8,8.63,9977,331.8,33.26,331423.75,5891819,2012
"123","MA","Massachusetts",1,1,1,0,1363282,110384,26511.6,26.85,97.57494467,107.1086184,96.45808092,102.8735632,57348,24036,0,90.4,3.76,188729,7626.7,40.41,982397,859,0,8683,912,430921,3407.9,7.98,9254,315.2,34.06,432256.25,6655829,2012
"124","MI","Michigan",2,3,0,1,2687926,626107,38965.2,21.46,96.50705225,91.95866386,98.92707894,102.975048,140729,621633,0,1917.8,3.09,357640,11422.9,32.29,2186354,5193,0,11561,1215,804084,5628.3,7.38,35551,798.5,22.5,417328.25,9884781,2012
"125","MN","Minnesota",2,4,0,1,1816866,417674,24201.2,20.14,98.1692277,98.17874957,99.603253,101.7171717,150916,257875,0,538.1,2.09,231977,5970.3,26.06,1281593,1075,0,5339,561,430286,2252.3,5.56,27850,611.4,22.05,294728.75,5380615,2012
"126","MS","Mississippi",3,6,1,0,1143099,390246,15314.7,20.75,98.93055209,88.4227842,100.8295641,99.66378482,84165,82456,30537,367.5,4.46,165099,4040.3,25.5,989634,958,0,0,0,499946,1640.5,3.82,8627,222.6,25.81,102082.75,2986137,2012
"127","MO","Missouri",2,4,0,0,1781978,203118,25904.3,22.85,95.98123441,102.7332409,97.50445096,101.6459075,62496,768297,9197,1448.7,1.89,281269,7029.5,24.99,1623633,352,0,6797,714,258945,2210.5,8.71,22703,493.2,21.72,265178.25,6025281,2012
"128","MT","Montana",4,8,0,0,395724,1008736,5569.9,21.89,98.35195288,91.35736054,97.68155592,100.7363092,7601,157308,660148,255.2,1.62,47302,1132.6,24.32,405716,337,0,107373,11283,75234,455.2,7.36,8061,168.4,20.91,42137.75,1005163,2012
"129","NE","Nebraska",2,4,0,0,852984,357156,10138.1,19.87,98.87663373,91.38912202,101.4225833,102.9533679,107042,272587,0,427.6,1.57,105185,2581.1,24.54,668116,1212,0,11962,1257,161774,837.2,5.44,9757,211.5,21.67,102163,1855487,2012
"130","NV","Nevada",4,8,0,0,639190,60252,10113,23.8,101.0329484,111.9779954,103.251825,101.4925373,9154,52850,0,139.8,2.65,120034,3098.5,26.38,548427,23886,2347,23223,2440,281432,1328.5,4.86,4125,115.3,28.39,125204.5,2755245,2012
"131","NH","New Hampshire",1,1,1,0,284490,129929,5950.6,28.61,97.10252271,98.49149857,98.00872931,103.3224991,35301,14191,0,57.8,4.07,37089,1542.8,41.6,224415,29,0,12270,1289,74336,547.6,7.37,15243,462.9,30.37,66012.75,1321297,2012
"132","NJ","New Jersey",1,2,1,0,2241207,393682,39242,24.43,92.92611874,100.7037047,91.7879255,101.0339123,61003,25589,0,103.7,4.05,256081,10239.7,40.12,1647100,466,0,102,11,670970,4823,7.3,6972,231.5,33.21,518422.5,8876000,2012
"133","NM","New Mexico",4,8,0,0,666540,2315892,8855.4,24,99.68071186,102.4422287,101.4968825,102.0842195,16179,263439,409050,575.5,2.18,79085,1997.5,26.21,745336,368,0,2120,223,249815,725.4,5.15,7683,199.8,26.01,90535.25,2084594,2012
"134","NY","New York",1,2,1,1,3503309,817908,65453.9,25.49,97.01525107,93.00803393,98.70879398,100.2753737,122513,72914,0,266.2,3.65,488471,21683.2,44.39,2593481,1185,0,234593,24652,1260950,9323.4,7.5,26543,847.8,31.94,1299813.5,19607140,2012
"135","NC","North Carolina",3,5,1,0,2481060,560887,36240.3,23.79,96.96216027,97.92090029,100.2614412,102.4547804,142163,534713,0,2025.9,3.79,437026,11720.6,26.82,1654828,967,0,35475,3728,367948,2423.1,6.69,36513,943.7,25.85,439332.5,9748181,2012
"136","ND","North Dakota",2,4,0,0,552326,2135154,7095.5,18.3,104.5066489,140.6181219,109.4832508,105.5363322,25455,406344,366826,873.9,2.15,50214,1139.8,22.99,678850,978,0,23573,2477,77469,241.4,5.16,9057,194.2,21.52,52197.25,701705,2012
"137","OH","Ohio",2,3,0,1,3655849,1067944,49523.1,20.71,96.39464903,100.0000936,97.80254286,100.6316812,115615,1019140,642149,2940.6,2.89,520183,13788.3,26.84,2984206,3435,0,3941,414,869934,5388.4,6.42,23914,609.6,25.57,544551.75,11550901,2012
"138","OK","Oklahoma",3,7,0,0,1561913,2950525,19780.9,20.34,98.53022813,109.1049036,100.0708255,102.1597187,41310,327089,22004,666.2,2.04,202470,4442,22.16,1567142,24,0,10901,1146,712411,3102.3,5.3,8764,192.2,21.99,173911.5,3817059,2012
"139","OR","Oregon",4,9,1,0,975044,496254,14994.4,22.78,97.26357539,96.62322794,100.4697038,101.8328118,61814,28259,0,55.6,1.97,159302,3834.9,24.07,575060,1476,26,375027,39410,220578,1337.9,6.2,5689,138.2,24.3,196982.25,3898684,2012
"140","PA","Pennsylvania",1,2,0,1,3623997,4730336,54238.3,22.97,97.28814442,122.2097151,97.81672856,100.745614,141507,1093178,1390644,3282.6,3,493750,14218.8,29.12,3324396,2162,0,21334,2242,1079497,6576.7,7.09,48347,1456.2,30.12,626315.5,12770043,2012
"141","RI","Rhode Island",1,1,1,0,183879,2822,3844,26.59,99.00285897,82.53875402,98.37995547,101.6437309,5609,0,0,0,0,26301,982.1,37.34,178036,57,0,41,4,98435,670.3,6.88,1455,52.5,36.1,51491.75,1052637,2012
"142","SC","South Carolina",3,5,1,0,1558766,646738,20946,21.83,97.30847672,97.70961689,99.1803628,102.2003745,117091,298572,0,1189.5,3.98,265389,7079.7,26.68,1012652,648,0,13515,1420,250482,1268.9,5.14,8411,214.3,25.48,175434,4722621,2012
"143","SD","South Dakota",2,4,0,0,375950,248616,4786.1,21.05,99.33416123,100.0990458,104.127143,103.0347528,58812,35574,0,80,2.25,40037,996.3,24.88,225164,1868,0,56915,5981,71501,376.1,5.87,6231,136,21.83,43258.5,834504,2012
"144","TN","Tennessee",3,6,0,0,2080953,468757,28787.6,22.37,94.78692048,92.51156007,96.40469907,100.993228,96477,423086,28372,1204.3,2.85,328854,8860.3,27.23,1355061,213,0,78942,8296,281007,1578.8,6.01,9047,235.1,26.06,280843,6455177,2012
"145","TX","Texas",3,7,1,0,11931169,14180982,152010.2,19.1,100.2093019,112.8030736,93.108247,92.94403893,200181,1498818,578697,2865.1,1.91,1245735,30604.4,25.33,11054960,2478,0,5562,584,3964121,11266.1,3.52,1555977,23014.5,14.8,1440819,26094422,2012
"146","UT","Utah",4,8,0,0,790154,1118599,10604.7,20.96,99.50834826,99.09445342,101.1319855,104.5908184,9560,322055,387129,629.5,1.95,101416,2303.4,23.1,829676,3993,335,7116,748,232630,1063.6,5.86,4285,98.9,23.45,129012.25,2855194,2012
"147","VT","Vermont",1,1,0,0,130412,77979,3227.9,29.2,86.66688819,96.65580029,100.1458178,104.8097631,16070,0,0,0,0,18803,783.6,41.68,84141,29,0,10555,1109,8290,91.8,11.23,9153,279.9,30.58,28146,626138,2012
"148","VA","Virginia",3,5,1,0,2343908,1045095,34366.7,22.69,98.44539216,96.30135068,102.8213513,101.9775281,118265,222270,493398,899,4.04,367796,9779.5,26.59,1432460,1701,0,9933,1044,424050,2426.8,5.98,18335,433.4,23.64,444527.5,8193422,2012
"149","WA","Washington",4,9,1,0,2037127,1108998,27632.5,21.79,98.90742512,100.7094169,101.9965598,101.1606314,112884,42656,0,89.1,2.09,315052,6349.4,20.49,1049562,1136,0,851343,89464,271947,2260.5,9,16186,410.8,25.83,390153.25,6896325,2012
"150","WV","West Virginia",3,5,0,0,720985,3720223,8945.3,21.13,99.26260531,97.38286159,99.13227537,104.4488384,24257,756716,3059090,2062.2,2.73,105148,2482,23.91,1083056,32,0,13622,1431,140133,542.5,7.2,4030,123.3,30.6,70914.75,1856313,2012
"151","WI","Wisconsin",2,3,0,1,1721543,333635,24139.9,21.41,96.82371045,106.7454376,98.21871046,102.0982356,133110,373281,0,937.8,2.51,234814,7015.7,30.25,1283286,615,0,14486,1522,410305,2563,6.42,27669,573.3,20.77,273879.75,5724888,2012
"152","WY","Wyoming",4,8,0,0,550182,9611304,5728.4,18.52,98.85616335,92.83460451,104.173562,102.8317601,4165,490128,6973727,724.1,1.48,57906,1189.9,21.19,821266,663,0,8502,893,158546,380.6,5.61,4817,103.3,21.52,39909,576893,2012
"153","DC","District of Columbia",3,5,0,0,172963,277,2218.2,25.5,94.10084546,102.2140221,90.42804729,95.64891223,819,77,0,0.2,3.08,38415,1334.7,34.74,49025,22,0,0,0,29389,316.3,11.18,27,0.7,27.11,109760,635040,2012
"154","AL","Alabama",3,6,1,0,1919365,1463647,24127,19.02,102.109308,102.1122948,99.72801825,95.29058116,194432,565051,469162,1731.6,3.06,299751,7901.4,26.47,1689491,141,0,123071,12899,625869,3090.9,5.38,9094,221.7,24.45,191605.25,4833996,2013
"155","AK","Alaska",4,9,1,0,621107,1513859,7281.9,24.6,95.65189939,96.84966176,92.35715645,98.04703069,5168,14819,24917,72.6,4.9,21387,1005.2,48.37,600660,186,0,13696,1435,332963,495.4,6.78,1272,33.2,26.07,59890.75,737259,2013
"156","AZ","Arizona",4,8,0,0,1414383,594994,22841.1,26.05,101.32852,99.49083588,99.86315384,98.63687997,26492,454865,163691,946.8,2.08,258159,7669.3,29.71,1289119,345,0,56432,5915,340375,2026.2,6.19,7576,223.3,29.47,271072.5,2958765,2013
"157","AR","Arkansas",3,7,0,0,1096438,1432074,14102.1,19.54,102.6971588,97.23624334,102.5197194,97.7977978,95356,327099,1433,789.4,2.41,159283,3686.7,23.29,936796,808,0,25329,2655,286352,1679,6.44,8864,217.7,24.62,116651.5,6634997,2013
"158","CA","California",4,9,1,0,7665241,2390424,137050.7,24.85,101.3376145,102.3796257,100.822985,99.51942331,294412,38151,0,129.5,3.39,891666,37028.1,42.01,5755210,119556,12307,226643,23755,2483208,14808.6,6.51,54438,1493.1,27.94,2215231.5,38431393,2013
"159","CO","Colorado",4,8,0,0,1470844,2838193,19670.7,21.14,102.0865767,97.15230961,101.9439665,96.92801467,35382,363532,529096,703.4,1.93,182343,5258.2,29.01,1303825,759,0,11572,1213,487445,2355.3,6.35,17952,423.8,23.81,288809,5272086,2013
"160","CT","Connecticut",1,1,1,0,754901,207118,15364.3,27.69,104.1215472,100.9972059,101.571404,96.61549197,34153,7679,0,32.3,4.21,101761,4669.1,45.88,560141,21,0,3835,402,241509,1922.3,8.11,10949,330.7,30.21,242417,3599341,2013
"161","DE","Delaware",3,5,1,0,273716,3818,3856.6,24.28,99.99561609,108.1586402,95.45094545,97.78493758,5977,18254,0,58.4,3.2,38719,1215.7,32.11,213411,430,0,0,0,100106,701.7,7.86,4675,139.5,29.84,61423.75,925240,2013
"162","FL","Florida",3,5,1,0,4076406,542570,66108.5,25.13,101.1539484,122.701204,99.59099126,98.31768388,253961,505155,0,1736.5,3.44,757189,22678.3,29.95,3273949,10056,0,2425,254,1245287,6852.9,5.59,16807,448.1,26.66,797343.5,19600311,2013
"163","GA","Georgia",3,5,1,0,2782782,581082,39938.5,21.37,100.5525221,104.6545806,100.2542849,98.34330419,233509,426184,0,1371.6,3.22,445257,12647.6,28.41,1928374,315,0,35431,3714,635287,4417.7,7.06,17424,433.8,24.9,450933.5,9994759,2013
"164","HI","Hawaii",4,9,1,0,281329,25465,7645.3,38.6,100.413319,124.3104711,97.51285027,96.163428,11179,15306,0,32.4,2.12,32425,3153.6,97.51,252836,2630,275,747,78,2805,118.2,42.15,3211,104.6,32.58,74011.75,1408987,2013
"165","ID","Idaho",4,8,0,0,526613,138799,6990.4,20.2,103.0818077,89.64664242,104.017618,100.0495295,33286,7965,0,21.8,2.73,82598,1832.6,22.19,270907,1881,40,80845,8473,106356,620.5,6.19,6604,159.5,24.15,61110.75,1612843,2013
"166","IL","Illinois",2,3,0,1,3991089,2519993,49122.2,18.54,104.4638111,103.4181857,102.5871179,95.81395349,135697,1026925,1149607,2128.4,2.07,483838,11518.5,24.35,3266060,2042,0,1148,120,1073734,7260.8,7.2,78680,1770.1,22.59,720494.5,12890552,2013
"167","IN","Indiana",2,3,0,1,2894764,1106441,33414.8,17.86,104.498155,105.7768825,103.3400547,98.83785279,108119,1198611,883260,3568.9,2.98,359923,9112,25.65,2632450,4647,0,3692,387,682842,4405.2,6.69,25008,615.3,24.74,310669.25,6570713,2013
"168","IA","Iowa",2,4,0,0,1518870,730473,17434.4,17.92,105.4732013,107.7592476,105.1322716,98.95085588,227495,402402,0,736.5,1.83,159358,3769,23.65,1125533,1281,0,7147,749,331358,2045.9,6.4,70963,1558.7,21.97,163495.25,3092341,2013
"169","KS","Kansas",2,4,0,0,1105160,830704,14104,21.42,102.7639978,104.7440359,104.9545326,100.6578947,40855,326817,541,580.8,1.78,135959,3790.1,28.68,963626,974,0,139,15,288840,1569.1,6.97,11228,267.3,24.04,142773.5,2895801,2013
"170","KY","Kentucky",3,6,0,0,1838898,2138426,22805.3,20.88,98.41662996,89.43205647,101.195875,100.4329004,55168,914774,1940060,2199.9,2.4,289214,6471.4,22.58,1737960,2712,0,31249,3275,236423,1418,6.65,48525,1091.1,22.52,182696.25,4399583,2013
"171","LA","Louisiana",3,7,1,0,4196622,3208044,44637.9,15.67,98.62428237,84.6552352,100.7381948,101.3583441,125789,228055,38079,666.9,2.92,292777,6349.7,24.3,3785289,1842,0,9966,1045,1499625,4729.4,4.19,613368,8491.7,13.86,238308.25,4629284,2013
"172","ME","Maine",1,1,1,0,409785,155380,7512.4,21.86,102.5308379,102.0015624,104.8632049,99.22832501,116850,1657,0,8.1,4.87,40449,1405.7,34.75,253371,72,0,33970,3560,66014,590.9,9.07,13201,382.6,28.98,53299.75,1328702,2013
